,ArchiveSize,DE,ElapsedTime,Improvements,NFE,PCX,PopulationSize,Restarts,SBX,SPX,UM,UNDX
0,4,0.16666666666666666,2929.748704144731,7,10,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,2,0.16666666666666666,3517.1255997885446,8,12,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,3,0.16666666666666666,3816.7246060729244,9,14,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,3,0.16666666666666666,4403.103778963128,9,16,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,3,0.16666666666666666,4690.88413188506,9,18,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
5,3,0.16666666666666666,5568.257438492284,9,21,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
