,ArchiveSize,DE,ElapsedTime,Improvements,NFE,PCX,PopulationSize,Restarts,SBX,SPX,UM,UNDX
0,3,0.16666666666666666,3425.1869483221953,5,10,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,3,0.16666666666666666,5144.31523509949,6,15,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,3,0.16666666666666666,6505.956191160496,7,21,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,4,0.16666666666666666,7870.39676005807,8,26,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
4,4,0.16666666666666666,9249.697114371002,8,32,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
5,4,0.16666666666666666,10603.219193072244,9,38,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,4,0.16666666666666666,12312.164185198375,9,44,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,4,0.16666666666666666,13339.001926456776,9,50,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,4,0.16666666666666666,14370.867750213172,9,56,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
9,5,0.16666666666666666,16066.256214739757,10,62,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10,5,0.16666666666666666,17114.782275171307,10,67,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
11,5,0.16666666666666666,18130.98727254817,10,72,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
12,6,0.16666666666666666,19169.94614791105,11,78,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
13,6,0.16666666666666666,19520.468180701824,11,83,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
14,6,0.16666666666666666,20219.530755779928,11,88,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
15,6,0.16666666666666666,20911.606560204895,11,94,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
16,6,0.16666666666666666,21600.478601486877,11,99,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
17,6,0.16666666666666666,23318.009108993683,11,105,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
18,6,0.16666666666666666,24700.103083712616,11,110,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
19,6,0.16666666666666666,25715.74605537694,11,116,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
20,6,0.16666666666666666,27068.98664941384,11,121,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
21,8,0.16666666666666666,28780.305107606564,13,126,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
22,8,0.16666666666666666,30150.400871496597,13,131,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
23,8,0.16666666666666666,30840.594953770833,13,136,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
24,8,0.16666666666666666,31890.198732157878,13,142,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
25,8,0.16666666666666666,32910.17685871655,13,148,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
26,8,0.16666666666666666,34282.01926100191,13,154,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
27,8,0.16666666666666666,35641.04145403359,13,159,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
28,8,0.16666666666666666,37685.06416589815,13,165,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
29,8,0.16666666666666666,39057.12445124731,13,170,0.16666666666666666,10,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
30,8,0.15384615384615385,40089.15916089926,13,176,0.07692307692307693,10,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
31,8,0.15384615384615385,41824.10446815842,13,182,0.07692307692307693,10,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
32,8,0.15384615384615385,43210.03742327268,13,187,0.07692307692307693,10,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
33,8,0.15384615384615385,44602.10887288907,13,192,0.07692307692307693,10,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
34,8,0.15384615384615385,45969.96532333228,13,197,0.07692307692307693,10,0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
35,7,0.15384615384615385,51459.41282203631,14,227,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
36,8,0.15384615384615385,52496.579335296636,15,232,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
37,8,0.15384615384615385,53881.03408072308,15,237,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
38,8,0.15384615384615385,55920.66287897866,15,243,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
39,8,0.15384615384615385,56959.29920298534,15,248,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
40,8,0.15384615384615385,58674.29283658503,15,253,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
41,9,0.15384615384615385,59695.472022026326,16,258,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
42,9,0.15384615384615385,61416.58439525437,16,264,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
43,9,0.15384615384615385,63147.349809248684,16,269,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
44,9,0.15384615384615385,65206.33380922729,16,275,0.07692307692307693,32,1,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693
