<,1.25> 0.0
[1.25,1.75> 0.237355878085
[1.75,2> 0.310388455957
[2,2.25> 0.383421033829
[2.25,2.5> 0.447324539467
[2.5,2.75> 0.52035711734
[2.75,3> 0.584260622978
[3,3.25> 0.65729320085
[3.25,3.5> 0.712067634254
[3.5,3.75> 0.775971139892
[3.75,4> 0.812487428829
[4,4.25> 0.858132789999
[4.25,4.5> 0.885520006701
[4.5,4.75> 0.894649078935
[4.75,5> 0.903778151169
[5,> 0.912907223403
